0,1,2,3,4,5,6,7,8
TYPE,CONVENTION,,,,,,,MATERIALS
Metals,,,,,,,,"Steel, Cast Iron, Copper and its Alloys,
Aluminium and its alloy, etc"
,,,,,,,,
,,,,,,,,
,,,,,,,,"Lead, Zinc, Tin, White-metal, etc."
,,,,,,,,
,,,,,,,,
Glass,,,,,,,,Glass
,,,,,,,,
,,,,,,,,
"Packing and Insulating
materials",,,,,,,,"Porcelain, Stoneware, Marble, Slate etc"
,,,,,,,,
,,,,,,,,
,,,,,,,,"Asbestos, Fibre, Felt, Synthetic resin
products, Paper, Cork, Linoleum,
Rubber, Leather, Wax,
insulating &
Filling Materials etc"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Liquid,,,,,,,,"Water, Oil, Petrol, Kerosene etc"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Wood,,,,,,,,"Wood, Plywood etc"
,,,,,,,,
,,,,,,,,
,,,,,,,,
Concrete,,,,,,,,Concrete
,,,,,,,,
,,,,,,,,
